ticker,fiscal_year,fiscal_quarter,quarter_end,calendar_year,calendar_quarter,quarter_index,capex_usd,ytd_capex_usd,source_concept,accession,calendar_label,capex_ttm_usd,capex_yoy_growth
AMZN,2020,2,2020-06-30,2020,2,8082,7459000000,14254000000,PaymentsToAcquireProductiveAssets,0001018724-21-000020,2020-Q2,24263000000,1.0940482874789446
AMZN,2020,3,2020-09-30,2020,3,8083,11063000000,25317000000,PaymentsToAcquireProductiveAssets,0001018724-21-000028,2020-Q3,30629000000,1.3553331913987652
AMZN,2020,4,2020-12-31,2020,4,8084,14823000000,40140000000,PaymentsToAcquireProductiveAssets,0001018724-23-000004,2020-Q4,40140000000,1.7904743975903616
AMZN,2021,1,2021-03-31,2021,1,8085,12082000000,12082000000,PaymentsToAcquireProductiveAssets,0001018724-22-000013,2021-Q1,45427000000,0.7780721118469462
AMZN,2021,2,2021-06-30,2021,2,8086,14288000000,26370000000,PaymentsToAcquireProductiveAssets,0001018724-22-000019,2021-Q2,52256000000,0.9155382759082986
AMZN,2021,3,2021-09-30,2021,3,8087,15748000000,42118000000,PaymentsToAcquireProductiveAssets,0001018724-22-000023,2021-Q3,56941000000,0.4234836843532497
AMZN,2021,4,2021-12-31,2021,4,8088,18935000000,61053000000,PaymentsToAcquireProductiveAssets,0001018724-24-000008,2021-Q4,61053000000,0.27740673278013905
AMZN,2022,1,2022-03-31,2022,1,8089,14951000000,14951000000,PaymentsToAcquireProductiveAssets,0001018724-23-000008,2022-Q1,63922000000,0.23746068531700049
AMZN,2022,2,2022-06-30,2022,2,8090,15724000000,30675000000,PaymentsToAcquireProductiveAssets,0001018724-23-000012,2022-Q2,65358000000,0.10050391937290026
AMZN,2022,3,2022-09-30,2022,3,8091,16378000000,47053000000,PaymentsToAcquireProductiveAssets,0001018724-23-000018,2022-Q3,65988000000,0.04000508001016012
AMZN,2022,4,2022-12-31,2022,4,8092,16592000000,63645000000,PaymentsToAcquireProductiveAssets,0001018724-25-000004,2022-Q4,63645000000,-0.12373910747293371
AMZN,2023,1,2023-03-31,2023,1,8093,14207000000,14207000000,PaymentsToAcquireProductiveAssets,0001018724-24-000083,2023-Q1,62901000000,-0.04976255768844895
AMZN,2023,2,2023-06-30,2023,2,8094,11455000000,25662000000,PaymentsToAcquireProductiveAssets,0001018724-24-000130,2023-Q2,58632000000,-0.2714958025947596
AMZN,2023,3,2023-09-30,2023,3,8095,12479000000,38141000000,PaymentsToAcquireProductiveAssets,0001018724-24-000161,2023-Q3,54733000000,-0.23806325558676278
AMZN,2023,4,2023-12-31,2023,4,8096,14588000000,52729000000,PaymentsToAcquireProductiveAssets,0001018724-26-000004,2023-Q4,52729000000,-0.12078109932497594
AMZN,2024,1,2024-03-31,2024,1,8097,14925000000,14925000000,PaymentsToAcquireProductiveAssets,0001018724-25-000036,2024-Q1,53447000000,0.05053846695291053
AMZN,2024,2,2024-06-30,2024,2,8098,17620000000,32545000000,PaymentsToAcquireProductiveAssets,0001018724-25-000086,2024-Q2,59612000000,0.5381929288520297
AMZN,2024,3,2024-09-30,2024,3,8099,22620000000,55165000000,PaymentsToAcquireProductiveAssets,0001018724-25-000123,2024-Q3,69753000000,0.8126452440099368
AMZN,2024,4,2024-12-31,2024,4,8100,27834000000,82999000000,PaymentsToAcquireProductiveAssets,0001018724-26-000004,2024-Q4,82999000000,0.9080065807513025
AMZN,2025,1,2025-03-31,2025,1,8101,25019000000,25019000000,PaymentsToAcquireProductiveAssets,0001018724-26-000014,2025-Q1,93093000000,0.6763149078726969
AMZN,2025,2,2025-06-30,2025,2,8102,32183000000,57202000000,PaymentsToAcquireProductiveAssets,0001018724-26-000026,2025-Q2,107656000000,0.8265039727582293
AMZN,2025,3,2025-09-30,2025,3,8103,35095000000,92297000000,PaymentsToAcquireProductiveAssets,0001018724-25-000123,2025-Q3,120131000000,0.5515030946065429
AMZN,2025,4,2025-12-31,2025,4,8104,39522000000,131819000000,PaymentsToAcquireProductiveAssets,0001018724-26-000004,2025-Q4,131819000000,0.4199180857943523
AMZN,2026,1,2026-03-31,2026,1,8105,44203000000,44203000000,PaymentsToAcquireProductiveAssets,0001018724-26-000014,2026-Q1,151003000000,0.7667772492905391
AMZN,2026,2,2026-06-30,2026,2,8106,54208000000,98411000000,PaymentsToAcquireProductiveAssets,0001018724-26-000026,2026-Q2,173028000000,0.6843675232265483
GOOGL,2013,4,2013-12-31,2013,4,8056,,7358000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-16-000012,2013-Q4,,
GOOGL,2014,3,2014-09-30,2014,3,8059,,7408000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-15-000005,2014-Q3,,
GOOGL,2014,4,2014-12-31,2014,4,8060,3606000000,11014000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-17-000008,2014-Q4,,
GOOGL,2015,1,2015-03-31,2015,1,8061,2927000000,2927000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-16-000021,2015-Q1,,
GOOGL,2015,2,2015-06-30,2015,2,8062,2515000000,5442000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-16-000032,2015-Q2,,
GOOGL,2015,3,2015-09-30,2015,3,8063,2406000000,7848000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-16-000038,2015-Q3,11454000000,
GOOGL,2015,4,2015-12-31,2015,4,8064,2102000000,9950000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-18-000007,2015-Q4,9950000000,-0.41708264004437046
GOOGL,2016,1,2016-03-31,2016,1,8065,2444000000,2444000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-17-000014,2016-Q1,9467000000,-0.16501537410317735
GOOGL,2016,2,2016-06-30,2016,2,8066,2136000000,4580000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-17-000026,2016-Q2,9088000000,-0.1506958250497018
GOOGL,2016,3,2016-09-30,2016,3,8067,2554000000,7134000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-17-000042,2016-Q3,9236000000,0.06151288445552794
GOOGL,2016,4,2016-12-31,2016,4,8068,3078000000,10212000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-19-000004,2016-Q4,10212000000,0.4643196955280684
GOOGL,2017,1,2017-03-31,2017,1,8069,2508000000,2508000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-18-000016,2017-Q1,10276000000,0.026186579378068675
GOOGL,2017,2,2017-06-30,2017,2,8070,2831000000,5339000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-18-000027,2017-Q2,10971000000,0.3253745318352059
GOOGL,2017,3,2017-09-30,2017,3,8071,3538000000,8877000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-18-000035,2017-Q3,11955000000,0.38527799530148776
GOOGL,2017,4,2017-12-31,2017,4,8072,4307000000,13184000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-20-000008,2017-Q4,13184000000,0.3992852501624431
GOOGL,2018,1,2018-03-31,2018,1,8073,7299000000,7299000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-19-000015,2018-Q1,17975000000,1.910287081339713
GOOGL,2018,2,2018-06-30,2018,2,8074,5477000000,12776000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-19-000023,2018-Q2,20621000000,0.9346520664076299
GOOGL,2018,3,2018-09-30,2018,3,8075,5282000000,18058000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-19-000032,2018-Q3,22365000000,0.4929338609383833
GOOGL,2018,4,2018-12-31,2018,4,8076,7081000000,25139000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-21-000010,2018-Q4,25139000000,0.6440677966101696
GOOGL,2019,1,2019-03-31,2019,1,8077,4638000000,4638000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-20-000021,2019-Q1,22478000000,-0.364570489108097
GOOGL,2019,2,2019-06-30,2019,2,8078,6126000000,10764000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-20-000032,2019-Q2,23127000000,0.11849552674821973
GOOGL,2019,3,2019-09-30,2019,3,8079,6732000000,17496000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-20-000050,2019-Q3,24577000000,0.27451722832260517
GOOGL,2019,4,2019-12-31,2019,4,8080,6052000000,23548000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-22-000019,2019-Q4,23548000000,-0.14531845784493713
GOOGL,2020,1,2020-03-31,2020,1,8081,6005000000,6005000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-21-000020,2020-Q1,24915000000,0.2947391116860716
GOOGL,2020,2,2020-06-30,2020,2,8082,5391000000,11396000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-21-000047,2020-Q2,24180000000,-0.11998041136141036
GOOGL,2020,3,2020-09-30,2020,3,8083,5406000000,16802000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-21-000057,2020-Q3,22854000000,-0.19696969696969702
GOOGL,2020,4,2020-12-31,2020,4,8084,5479000000,22281000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-23-000016,2020-Q4,22281000000,-0.09467944481163248
GOOGL,2021,1,2021-03-31,2021,1,8085,5942000000,5942000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-22-000029,2021-Q1,22218000000,-0.010491257285595301
GOOGL,2021,2,2021-06-30,2021,2,8086,5496000000,11438000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-22-000071,2021-Q2,22323000000,0.019476905954368462
GOOGL,2021,3,2021-09-30,2021,3,8087,6819000000,18257000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-22-000090,2021-Q3,23736000000,0.2613762486126525
GOOGL,2021,4,2021-12-31,2021,4,8088,6383000000,24640000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-24-000022,2021-Q4,24640000000,0.16499361197298779
GOOGL,2022,1,2022-03-31,2022,1,8089,9786000000,9786000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-23-000045,2022-Q1,28484000000,0.6469202288791653
GOOGL,2022,2,2022-06-30,2022,2,8090,6828000000,16614000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-23-000070,2022-Q2,29816000000,0.24235807860262004
GOOGL,2022,3,2022-09-30,2022,3,8091,7276000000,23890000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-23-000094,2022-Q3,30273000000,0.06701862443173479
GOOGL,2022,4,2022-12-31,2022,4,8092,7595000000,31485000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-25-000014,2022-Q4,31485000000,0.1898793670687764
GOOGL,2023,1,2023-03-31,2023,1,8093,6289000000,6289000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-24-000053,2023-Q1,27988000000,-0.3573472307377886
GOOGL,2023,2,2023-06-30,2023,2,8094,6888000000,13177000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-24-000079,2023-Q2,28048000000,0.008787346221441172
GOOGL,2023,3,2023-09-30,2023,3,8095,8055000000,21232000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-24-000118,2023-Q3,28827000000,0.1070643210555251
GOOGL,2023,4,2023-12-31,2023,4,8096,11019000000,32251000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000018,2023-Q4,32251000000,0.450822909809085
GOOGL,2024,1,2024-03-31,2024,1,8097,12012000000,12012000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-25-000043,2024-Q1,37974000000,0.9100015900779139
GOOGL,2024,2,2024-06-30,2024,2,8098,13186000000,25198000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-25-000062,2024-Q2,44272000000,0.9143437862950059
GOOGL,2024,3,2024-09-30,2024,3,8099,13061000000,38259000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-25-000091,2024-Q3,49278000000,0.6214773432650527
GOOGL,2024,4,2024-12-31,2024,4,8100,14276000000,52535000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000018,2024-Q4,52535000000,0.29558036119430064
GOOGL,2025,1,2025-03-31,2025,1,8101,17197000000,17197000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000048,2025-Q1,57720000000,0.43165168165168155
GOOGL,2025,2,2025-06-30,2025,2,8102,22446000000,39643000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000071,2025-Q2,66980000000,0.7022599726983163
GOOGL,2025,3,2025-09-30,2025,3,8103,23953000000,63596000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-25-000091,2025-Q3,77872000000,0.8339330832248679
GOOGL,2025,4,2025-12-31,2025,4,8104,27851000000,91447000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000018,2025-Q4,91447000000,0.9508966096945923
GOOGL,2026,1,2026-03-31,2026,1,8105,35674000000,35674000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000048,2026-Q1,109924000000,1.0744315869046925
GOOGL,2026,2,2026-06-30,2026,2,8106,44924000000,80598000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000071,2026-Q2,132402000000,1.0014256437672637
META,2010,4,2010-12-31,2010,4,8044,,293000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-13-000003,2010-Q4,,
META,2011,2,2011-06-30,2011,2,8046,,285000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-12-325997,2011-Q2,,
META,2011,3,2011-09-30,2011,3,8047,136000000,421000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-12-000006,2011-Q3,,
META,2011,4,2011-12-31,2011,4,8048,185000000,606000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-14-000007,2011-Q4,,
META,2012,1,2012-03-31,2012,1,8049,453000000,453000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-13-000011,2012-Q1,,
META,2012,2,2012-06-30,2012,2,8050,413000000,866000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-13-000019,2012-Q2,1187000000,
META,2012,3,2012-09-30,2012,3,8051,171000000,1037000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-13-000031,2012-Q3,1222000000,0.25735294117647056
META,2012,4,2012-12-31,2012,4,8052,198000000,1235000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-15-000006,2012-Q4,1235000000,0.07027027027027022
META,2013,1,2013-03-31,2013,1,8053,327000000,327000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-14-000023,2013-Q1,1109000000,-0.2781456953642384
META,2013,2,2013-06-30,2013,2,8054,268000000,595000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-14-000032,2013-Q2,964000000,-0.35108958837772397
META,2013,3,2013-09-30,2013,3,8055,284000000,879000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-14-000068,2013-Q3,1077000000,0.6608187134502923
META,2013,4,2013-12-31,2013,4,8056,483000000,1362000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-16-000043,2013-Q4,1362000000,1.4393939393939394
META,2014,1,2014-03-31,2014,1,8057,363000000,363000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-15-000015,2014-Q1,1398000000,0.11009174311926606
META,2014,2,2014-06-30,2014,2,8058,469000000,832000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-15-000028,2014-Q2,1599000000,0.75
META,2014,3,2014-09-30,2014,3,8059,482000000,1314000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-15-000032,2014-Q3,1797000000,0.6971830985915493
META,2014,4,2014-12-31,2014,4,8060,517000000,1831000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-17-000007,2014-Q4,1831000000,0.07039337474120089
META,2015,1,2015-03-31,2015,1,8061,502000000,502000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-16-000067,2015-Q1,1970000000,0.38292011019283745
META,2015,2,2015-06-30,2015,2,8062,549000000,1051000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-16-000082,2015-Q2,2050000000,0.17057569296375275
META,2015,3,2015-09-30,2015,3,8063,780000000,1831000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-16-000087,2015-Q3,2348000000,0.6182572614107884
META,2015,4,2015-12-31,2015,4,8064,692000000,2523000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-18-000009,2015-Q4,2523000000,0.33849129593810434
META,2016,1,2016-03-31,2016,1,8065,1132000000,1132000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-17-000024,2016-Q1,3153000000,1.2549800796812751
META,2016,2,2016-06-30,2016,2,8066,995000000,2127000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-17-000038,2016-Q2,3599000000,0.8123861566484518
META,2016,3,2016-09-30,2016,3,8067,1095000000,3222000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-17-000053,2016-Q3,3914000000,0.40384615384615374
META,2016,4,2016-12-31,2016,4,8068,1269000000,4491000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-19-000009,2016-Q4,4491000000,0.8338150289017341
META,2017,1,2017-03-31,2017,1,8069,1271000000,1271000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-18-000032,2017-Q1,4630000000,0.12279151943462896
META,2017,2,2017-06-30,2017,2,8070,1444000000,2715000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-18-000057,2017-Q2,5079000000,0.4512562814070351
META,2017,3,2017-09-30,2017,3,8071,1755000000,4470000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-18-000067,2017-Q3,5739000000,0.6027397260273972
META,2017,4,2017-12-31,2017,4,8072,2263000000,6733000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-20-000013,2017-Q4,6733000000,0.7832939322301025
META,2018,1,2018-03-31,2018,1,8073,2812000000,2812000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-19-000037,2018-Q1,8274000000,1.2124311565696302
META,2018,2,2018-06-30,2018,2,8074,3460000000,6272000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-19-000055,2018-Q2,10290000000,1.3961218836565097
META,2018,3,2018-09-30,2018,3,8075,3342000000,9614000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-19-000069,2018-Q3,11877000000,0.9042735042735042
META,2018,4,2018-12-31,2018,4,8076,4301000000,13915000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-21-000014,2018-Q4,13915000000,0.9005744586831639
META,2019,1,2019-03-31,2019,1,8077,3837000000,3837000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-20-000048,2019-Q1,14940000000,0.36450924608819335
META,2019,2,2019-06-30,2019,2,8078,3633000000,7470000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-20-000076,2019-Q2,15113000000,0.050000000000000044
META,2019,3,2019-09-30,2019,3,8079,3532000000,11002000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-20-000084,2019-Q3,15303000000,0.05685218432076611
META,2019,4,2019-12-31,2019,4,8080,4100000000,15102000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-22-000018,2019-Q4,15102000000,-0.046733317833062116
META,2020,1,2020-03-31,2020,1,8081,3558000000,3558000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-21-000033,2020-Q1,14823000000,-0.07271305707584053
